,system__count,shuttle_pre_scan_time,shuttle_scan_success_time,shuttle_post_scan_delay,shuttle_carrier_motion_time,shuttle_stopper_lowering_time,shuttle_pallet_release_time,shuttle_stopper_rising_time,l2_dispenser__dispenser_entry_unclamp_time,l2_dispenser__dispenser_delay_post_entry_unclamp,l2_dispenser__dispenser_pallet_lifting_1_time,l2_dispenser__dispenser_entry_clamping_time,l2_dispenser__dispenser_delay_post_clamping,l2_dispenser__dispenser_pallet_stopper_releasing_time,l2_dispenser__dispenser_delay_pre_gantry_positioning,l2_dispenser__dispenser_gantry_positioning_time,l2_dispenser__dispenser_dispensing_time,l2_dispenser__dispenser_pallet_unpositioning_time,l2_dispenser__dispenser_pallet_stopper_locking_time,l2_dispenser__dispenser_pre_exit_unclamping,l2_dispenser__dispenser_exit_unclamping,l2_dispenser__dispenser_post_exit_unclamp,l2_dispenser__dispenser_pallet_lowering_1,l2_dispenser__dispenser_stopper_lowering,l2_dispenser__dispenser_pallet_releasing,l2_dispenser__dispenser_stopper_rasing,l2_inspection__inspection_lifter_rising_time,l2_inspection__inspection_gantry_positioning_time,l2_inspection__inspection_core_vision_system_time,l2_inspection__inspection_post_vision_check_delay,l2_inspection__inspection_lifter_lowering_time,l2_inspection__inspection_pallet_releasing_time,timestamp,system__cycle_time,system__total_time,system__rolling_uph,system__ng_pallets,system__yield,system__total_units,system__total_pallets,system__ok_pallets
13,27.0,0.01,1.376,0.509,0.001,0.081,3.935,0.083,0.0,0.001,0.231,0.147,0.501,0.123,1.001,1.94,10.554,1.912,0.248,1.001,0.102,0.001,0.402,0.249,3.523,0.107,1.296,12.338,6.241,0.0,1.207,7.726,2026-01-24 03:48:08.538,18.9927,11501.52,98.0,0.0,100.0,385.0,385.0,385.0
14,29.0,0.011,1.383,0.514,0.0,0.083,3.923,0.085,0.0,0.001,0.233,0.126,0.5,0.125,1.002,1.941,10.555,1.913,0.252,1.001,0.104,0.002,0.402,0.228,3.52,0.104,0.0,12.348,6.235,0.0,1.107,7.721,2026-01-24 03:48:53.577,23.6709,11553.59,98.0,0.0,100.0,387.0,387.0,387.0
15,31.0,0.01,1.39,0.517,0.0,0.082,3.92,0.083,0.0,0.001,0.232,0.126,0.501,0.126,1.002,1.932,10.555,1.914,0.249,1.001,0.102,0.001,0.404,0.25,3.522,0.102,0.0,12.325,6.239,0.001,1.111,7.42,2026-01-24 03:49:38.484,26.047,11598.32,98.0,0.0,100.0,389.0,389.0,389.0
16,33.0,0.012,0.709,0.513,0.0,0.082,3.933,0.083,0.0,0.001,0.231,0.146,0.5,0.125,1.001,1.935,10.555,1.913,0.246,1.001,0.103,0.002,0.401,0.231,3.529,0.103,0.0,12.348,6.231,0.0,1.206,7.723,2026-01-24 03:50:29.050,18.922,11643.65,98.0,0.0,100.0,391.0,391.0,391.0
17,35.0,0.011,0.715,0.512,0.0,0.083,3.933,0.083,0.0,0.001,0.231,0.146,0.5,0.125,1.001,1.935,10.556,1.912,0.248,1.001,0.105,0.001,0.402,0.234,3.52,0.104,0.0,12.35,6.237,0.0,1.107,7.719,2026-01-24 03:51:14.128,23.8751,11694.11,98.0,0.0,100.0,393.0,393.0,393.0
18,37.0,0.01,0.726,0.512,0.0,0.082,3.931,0.083,0.0,0.002,0.233,0.145,0.5,0.125,1.002,1.932,10.553,1.91,0.249,1.0,0.103,0.002,0.4,0.251,3.523,0.106,0.0,12.342,6.236,0.0,1.21,7.819,2026-01-24 03:51:58.205,24.9389,11739.39,98.0,0.0,100.0,395.0,395.0,395.0
19,39.0,0.011,0.71,0.512,0.0,0.104,3.931,0.081,0.0,0.001,0.341,0.126,0.501,0.124,1.001,1.937,10.549,1.911,0.249,1.001,0.104,0.001,0.403,0.251,3.524,0.105,0.0,12.304,6.243,0.0,1.211,7.715,2026-01-24 03:52:47.862,19.452,11783.33,98.0,0.0,100.0,397.0,397.0,397.0
20,41.0,0.011,0.719,0.512,0.0,0.085,3.927,0.084,0.0,0.002,0.23,0.126,0.501,0.125,1.002,1.935,10.558,1.91,0.25,1.001,0.103,0.002,0.403,0.229,3.523,0.105,0.0,12.342,6.236,0.0,1.107,7.825,2026-01-24 03:53:35.792,23.6025,11833.02,98.0,0.0,100.0,399.0,399.0,399.0
21,43.0,0.011,0.706,0.512,0.0,0.084,3.933,0.084,0.0,0.001,0.233,0.143,0.5,0.126,1.001,1.939,10.554,1.908,0.231,1.001,0.104,0.001,0.402,0.25,3.525,0.104,0.0,12.346,6.24,0.0,1.208,7.718,2026-01-24 03:54:16.538,27.7102,11880.96,98.0,0.0,100.0,401.0,401.0,401.0
22,45.0,0.01,1.391,0.511,0.0,0.083,3.923,0.082,0.0,0.001,0.23,0.146,0.501,0.122,1.003,1.935,10.549,1.91,0.248,1.001,0.104,0.001,0.401,0.25,3.528,0.104,0.384,12.339,6.241,0.0,1.208,7.816,2026-01-24 03:55:08.454,18.7761,11922.19,98.0,0.0,100.0,403.0,403.0,403.0
