"timestamp","value","state_context"
"2026-02-03 19:01:22.626+00","100","CYCLE_COUNT"
"2026-02-03 19:01:31.641+00","101","CYCLE_COUNT"
"2026-02-03 19:01:45.167+00","102","CYCLE_COUNT"
"2026-02-03 19:01:55.185+00","103","CYCLE_COUNT"
"2026-02-03 19:02:07.707+00","104","CYCLE_COUNT"
"2026-02-03 19:02:17.224+00","105","CYCLE_COUNT"
"2026-02-03 19:02:28.745+00","106","CYCLE_COUNT"
"2026-02-03 19:02:38.261+00","107","CYCLE_COUNT"
"2026-02-03 19:02:50.786+00","108","CYCLE_COUNT"
"2026-02-03 19:03:01.307+00","109","CYCLE_COUNT"
"2026-02-03 19:03:13.83+00","110","CYCLE_COUNT"
"2026-02-03 19:03:23.35+00","111","CYCLE_COUNT"
"2026-02-03 19:03:35.37+00","112","CYCLE_COUNT"
"2026-02-03 19:03:45.388+00","113","CYCLE_COUNT"
"2026-02-03 19:03:57.41+00","114","CYCLE_COUNT"
"2026-02-03 19:04:07.932+00","115","CYCLE_COUNT"
"2026-02-03 19:04:18.954+00","116","CYCLE_COUNT"
"2026-02-03 19:04:28.475+00","117","CYCLE_COUNT"
"2026-02-03 19:04:41.5+00","118","CYCLE_COUNT"
"2026-02-03 19:04:51.519+00","119","CYCLE_COUNT"
"2026-02-03 19:05:03.542+00","120","CYCLE_COUNT"
"2026-02-03 19:05:12.559+00","121","CYCLE_COUNT"
"2026-02-03 19:05:25.581+00","122","CYCLE_COUNT"
"2026-02-03 19:05:34.095+00","123","CYCLE_COUNT"
"2026-02-03 19:05:46.618+00","124","CYCLE_COUNT"
"2026-02-03 19:05:59.643+00","125","CYCLE_COUNT"
"2026-02-03 19:06:11.164+00","126","CYCLE_COUNT"
"2026-02-03 19:06:20.181+00","127","CYCLE_COUNT"
"2026-02-03 19:06:30.701+00","128","CYCLE_COUNT"
"2026-02-03 19:06:41.721+00","129","CYCLE_COUNT"
"2026-02-03 19:06:52.742+00","130","CYCLE_COUNT"
"2026-02-03 19:07:03.759+00","131","CYCLE_COUNT"
"2026-02-03 19:07:14.78+00","132","CYCLE_COUNT"
"2026-02-03 19:07:24.297+00","133","CYCLE_COUNT"
"2026-02-03 19:07:37.32+00","134","CYCLE_COUNT"
"2026-02-03 19:07:49.843+00","135","CYCLE_COUNT"
"2026-02-03 19:07:59.862+00","136","CYCLE_COUNT"
"2026-02-03 19:08:09.379+00","137","CYCLE_COUNT"
"2026-02-03 19:08:20.401+00","138","CYCLE_COUNT"
"2026-02-03 19:08:32.426+00","139","CYCLE_COUNT"
"2026-02-03 19:08:42.949+00","140","CYCLE_COUNT"
"2026-02-03 19:08:53.467+00","141","CYCLE_COUNT"
"2026-02-03 19:09:05.487+00","142","CYCLE_COUNT"
"2026-02-03 19:09:15.507+00","143","CYCLE_COUNT"
"2026-02-03 19:09:27.529+00","144","CYCLE_COUNT"
"2026-02-03 19:09:36.545+00","145","CYCLE_COUNT"
"2026-02-03 19:09:48.567+00","146","CYCLE_COUNT"
"2026-02-03 19:09:57.583+00","147","CYCLE_COUNT"
"2026-02-03 19:10:11.107+00","148","CYCLE_COUNT"
"2026-02-03 19:10:19.123+00","149","CYCLE_COUNT"
"2026-02-03 19:10:34.147+00","150","CYCLE_COUNT"
"2026-02-03 19:10:42.161+00","151","CYCLE_COUNT"
"2026-02-03 19:10:54.182+00","152","CYCLE_COUNT"
"2026-02-03 19:11:03.7+00","153","CYCLE_COUNT"
"2026-02-03 19:11:15.724+00","154","CYCLE_COUNT"
"2026-02-03 19:11:26.244+00","155","CYCLE_COUNT"
"2026-02-03 19:11:37.263+00","156","CYCLE_COUNT"
"2026-02-03 19:11:49.786+00","157","CYCLE_COUNT"
"2026-02-03 19:11:59.805+00","158","CYCLE_COUNT"
"2026-02-03 19:12:09.823+00","159","CYCLE_COUNT"
"2026-02-03 19:12:22.346+00","160","CYCLE_COUNT"
"2026-02-03 19:12:32.363+00","161","CYCLE_COUNT"
"2026-02-03 19:12:42.883+00","162","CYCLE_COUNT"
"2026-02-03 19:12:53.902+00","163","CYCLE_COUNT"
"2026-02-03 19:13:06.429+00","164","CYCLE_COUNT"
"2026-02-03 19:13:15.945+00","165","CYCLE_COUNT"
"2026-02-03 19:13:28.469+00","166","CYCLE_COUNT"
"2026-02-03 19:13:38.489+00","167","CYCLE_COUNT"
"2026-02-03 19:13:51.012+00","168","CYCLE_COUNT"
"2026-02-03 19:14:00.53+00","169","CYCLE_COUNT"
"2026-02-03 19:14:12.553+00","170","CYCLE_COUNT"
"2026-02-03 19:14:22.07+00","171","CYCLE_COUNT"
"2026-02-03 19:14:34.592+00","172","CYCLE_COUNT"
"2026-02-03 19:14:44.61+00","173","CYCLE_COUNT"
"2026-02-03 19:14:58.637+00","174","CYCLE_COUNT"
"2026-02-03 19:15:07.152+00","175","CYCLE_COUNT"
"2026-02-03 19:15:18.172+00","176","CYCLE_COUNT"
"2026-02-03 19:15:28.187+00","177","CYCLE_COUNT"
"2026-02-03 19:15:41.711+00","178","CYCLE_COUNT"
"2026-02-03 19:15:50.727+00","179","CYCLE_COUNT"
"2026-02-03 19:16:04.753+00","180","CYCLE_COUNT"
"2026-02-03 19:16:14.271+00","181","CYCLE_COUNT"
"2026-02-03 19:16:26.795+00","182","CYCLE_COUNT"
"2026-02-03 19:16:36.312+00","183","CYCLE_COUNT"
"2026-02-03 19:16:46.833+00","184","CYCLE_COUNT"
"2026-02-03 19:16:57.853+00","185","CYCLE_COUNT"
"2026-02-03 19:17:08.371+00","186","CYCLE_COUNT"
"2026-02-03 19:17:18.895+00","187","CYCLE_COUNT"
"2026-02-03 19:17:30.417+00","188","CYCLE_COUNT"
"2026-02-03 19:17:40.436+00","189","CYCLE_COUNT"
"2026-02-03 19:17:53.959+00","190","CYCLE_COUNT"
"2026-02-03 19:18:07.483+00","191","CYCLE_COUNT"
"2026-02-03 19:18:14.497+00","192","CYCLE_COUNT"
"2026-02-03 19:18:26.017+00","193","CYCLE_COUNT"
"2026-02-03 19:18:36.538+00","194","CYCLE_COUNT"
"2026-02-03 19:18:49.059+00","195","CYCLE_COUNT"
"2026-02-03 19:18:59.58+00","196","CYCLE_COUNT"
"2026-02-03 19:19:07.597+00","197","CYCLE_COUNT"
"2026-02-03 19:19:21.116+00","198","CYCLE_COUNT"
"2026-02-03 19:19:30.133+00","199","CYCLE_COUNT"
"2026-02-03 19:19:43.157+00","200","CYCLE_COUNT"
"2026-02-03 19:19:51.673+00","201","CYCLE_COUNT"
"2026-02-03 19:20:04.194+00","202","CYCLE_COUNT"
"2026-02-03 19:20:13.218+00","203","CYCLE_COUNT"
"2026-02-03 19:20:27.242+00","204","CYCLE_COUNT"
"2026-02-03 19:20:36.76+00","205","CYCLE_COUNT"
"2026-02-03 19:20:49.783+00","206","CYCLE_COUNT"
"2026-02-03 19:20:58.299+00","207","CYCLE_COUNT"
"2026-02-03 19:21:11.823+00","208","CYCLE_COUNT"
"2026-02-03 19:21:20.337+00","209","CYCLE_COUNT"
"2026-02-03 19:21:32.36+00","210","CYCLE_COUNT"
"2026-02-03 19:21:42.379+00","211","CYCLE_COUNT"
"2026-02-03 19:21:53.901+00","212","CYCLE_COUNT"
"2026-02-03 19:22:03.92+00","213","CYCLE_COUNT"
"2026-02-03 19:22:16.443+00","214","CYCLE_COUNT"
"2026-02-03 19:22:26.461+00","215","CYCLE_COUNT"
