,system__count,shuttle_pre_scan_time,shuttle_scan_success_time,shuttle_post_scan_delay,shuttle_carrier_motion_time,shuttle_stopper_lowering_time,shuttle_pallet_release_time,shuttle_stopper_rising_time,l1_buffer_a__buffer_holding_time,l1_buffer_a__buffer_stopper_lowering_time,l1_buffer_a__buffer_pallet_release_time,l1_buffer_a__buffer_stopper_rising_time,l1_dispenser__dispenser_entry_unclamp_time,l1_dispenser__dispenser_delay_post_entry_unclamp,l1_dispenser__dispenser_pallet_lifting_1_time,l1_dispenser__dispenser_entry_clamping_time,l1_dispenser__dispenser_delay_post_clamping,l1_dispenser__dispenser_pallet_stopper_releasing_time,l1_dispenser__dispenser_delay_pre_gantry_positioning,l1_dispenser__dispenser_gantry_positioning_time,l1_dispenser__dispenser_dispensing_time,l1_dispenser__dispenser_pallet_unpositioning_time,l1_dispenser__dispenser_pallet_stopper_locking_time,l1_dispenser__dispenser_pre_exit_unclamping,l1_dispenser__dispenser_exit_unclamping,l1_dispenser__dispenser_post_exit_unclamp,l1_dispenser__dispenser_pallet_lowering_1,l1_dispenser__dispenser_stopper_lowering,l1_dispenser__dispenser_pallet_releasing,l1_dispenser__dispenser_stopper_rasing,l1_inspection__inspection_lifter_rising_time,l1_inspection__inspection_gantry_positioning_time,l1_inspection__inspection_core_vision_system_time,l1_inspection__inspection_post_vision_check_delay,l1_inspection__inspection_lifter_lowering_time,l1_inspection__inspection_pallet_releasing_time,timestamp,system__cycle_time,system__total_time,system__rolling_uph,system__ng_pallets,system__yield,system__total_units,system__total_pallets,system__ok_pallets
52,106.0,0.01,0.719,0.513,3.926,0.084,3.928,0.083,0.0,0.103,3.723,0.084,0.0,1.002,0.263,0.332,1.502,0.125,0.001,1.731,10.559,1.71,0.124,1.001,0.187,0.001,0.302,0.124,3.52,0.165,0.0,7.422,6.238,0.0,1.003,7.817,2026-01-24 04:19:13.199,28.057,13373.78,98.0,0.0,100.0,464.0,464.0,464.0
53,108.0,0.011,0.73,0.513,3.928,0.084,3.927,0.084,0.0,0.104,3.719,0.083,0.0,1.003,0.263,0.328,1.503,0.125,0.001,1.734,10.561,1.708,0.126,1.0,0.188,0.002,0.301,0.123,3.522,0.165,0.0,7.435,6.242,0.0,1.005,7.817,2026-01-24 04:20:03.921,19.6061,13416.89,98.0,0.0,100.0,466.0,466.0,466.0
54,110.0,0.011,1.393,0.513,3.92,0.084,3.926,0.083,0.0,0.1,3.722,0.081,0.0,1.001,0.255,0.331,1.502,0.122,0.002,1.734,10.553,1.707,0.125,1.001,0.187,0.001,0.3,0.125,3.524,0.165,0.0,7.426,6.232,0.0,1.007,7.819,2026-01-24 04:20:52.791,21.6162,13467.62,98.0,0.0,100.0,468.0,468.0,468.0
55,112.0,0.01,0.714,0.513,3.926,0.083,3.929,0.085,0.0,0.102,3.72,0.084,0.0,1.001,0.265,0.333,1.5,0.125,0.001,1.736,10.563,1.712,0.125,1.0,0.186,0.0,0.302,0.126,3.52,0.167,0.0,7.435,6.239,0.0,1.005,7.826,2026-01-24 04:21:35.398,27.6326,13516.51,98.0,0.0,100.0,470.0,470.0,470.0
56,114.0,0.01,0.716,0.513,3.928,0.103,3.926,0.084,0.0,0.106,3.717,0.084,0.0,1.002,0.265,0.334,1.501,0.125,0.002,1.73,10.556,1.714,0.126,1.0,0.188,0.001,0.303,0.126,3.519,0.167,0.0,7.429,6.239,0.0,1.005,7.821,2026-01-24 04:22:26.413,20.3685,13559.1,98.0,0.0,100.0,472.0,472.0,472.0
57,116.0,0.011,0.78,0.516,3.828,0.083,3.931,0.083,0.0,0.104,3.723,0.084,0.0,1.001,0.263,0.333,1.501,0.129,0.001,1.736,10.553,1.715,0.127,1.0,0.185,0.002,0.303,0.125,3.524,0.185,0.0,7.42,6.237,0.0,1.008,7.816,2026-01-24 04:23:13.011,23.1705,13610.13,98.0,0.0,100.0,474.0,474.0,474.0
58,118.0,0.01,0.71,0.513,3.922,0.088,3.929,0.083,0.0,0.105,3.72,0.084,0.0,1.002,0.262,0.315,1.502,0.125,0.001,1.734,10.547,1.711,0.124,1.001,0.188,0.001,0.302,0.125,3.523,0.167,0.0,7.427,6.237,0.0,1.008,7.817,2026-01-24 04:23:57.729,26.5648,13656.71,98.0,0.0,100.0,476.0,476.0,476.0
59,120.0,0.011,1.376,0.514,3.933,0.086,3.925,0.083,0.0,0.104,3.713,0.083,0.0,1.001,0.263,0.333,1.502,0.123,0.001,1.731,10.551,1.708,0.125,1.001,0.188,0.0,0.302,0.126,3.531,0.168,0.0,7.425,6.239,0.0,1.009,7.817,2026-01-24 04:24:51.224,19.1249,13701.43,98.0,0.0,100.0,478.0,478.0,478.0
60,122.0,0.01,1.39,0.515,3.827,0.084,3.928,0.082,0.0,0.104,3.721,0.084,0.0,1.001,0.264,0.33,1.5,0.124,0.002,1.755,10.554,1.71,0.125,1.0,0.186,0.001,0.302,0.123,3.524,0.168,0.0,7.409,6.236,0.0,1.006,7.822,2026-01-24 04:25:34.762,28.3412,13754.9,98.0,0.0,100.0,480.0,480.0,480.0
61,124.0,0.01,0.713,0.513,3.929,0.083,3.93,0.082,0.0,0.102,3.725,0.083,0.0,1.001,0.262,0.333,1.502,0.124,0.001,1.733,10.555,1.715,0.124,1.001,0.187,0.0,0.303,0.125,3.525,0.168,0.0,7.428,6.235,0.0,1.008,7.818,2026-01-24 04:26:27.819,17.2813,13798.46,98.0,0.0,100.0,482.0,482.0,482.0
62,126.0,0.011,0.712,0.513,3.926,0.083,3.923,0.083,0.0,0.104,3.724,0.083,0.001,1.001,0.264,0.333,1.503,0.126,0.0,1.736,10.552,1.709,0.122,1.001,0.186,0.002,0.301,0.125,3.523,0.165,0.0,7.425,6.231,0.001,1.008,7.825,2026-01-24 04:27:19.080,21.73,13851.51,98.0,0.0,100.0,484.0,484.0,484.0
63,128.0,0.01,1.401,0.514,3.924,0.084,3.928,0.083,0.0,0.105,3.719,0.083,0.0,1.002,0.262,0.331,1.501,0.125,0.001,1.738,10.554,1.709,0.126,1.001,0.187,0.001,0.303,0.126,3.527,0.168,0.0,7.418,6.231,0.0,1.008,7.625,2026-01-24 04:27:58.464,32.3945,13902.57,98.0,0.0,100.0,486.0,486.0,486.0
64,130.0,0.011,0.714,0.512,3.923,0.104,3.93,0.083,0.0,0.105,3.719,0.083,0.0,1.001,0.259,0.317,1.502,0.124,0.001,1.733,10.548,1.711,0.124,1.001,0.187,0.001,0.3,0.126,3.525,0.167,0.0,7.429,6.235,0.0,1.004,7.821,2026-01-24 04:28:49.191,19.3558,13942.16,98.0,0.0,100.0,488.0,488.0,488.0
65,132.0,0.01,1.39,0.515,3.929,0.103,3.927,0.082,0.0,0.104,3.724,0.084,0.0,1.002,0.256,0.336,1.501,0.125,0.002,1.731,10.547,1.712,0.126,1.0,0.186,0.001,0.302,0.124,3.523,0.166,0.0,7.425,6.238,0.0,1.009,7.722,2026-01-24 04:29:40.770,20.2726,13992.78,98.0,0.0,100.0,490.0,490.0,490.0
66,134.0,0.01,1.399,0.513,3.925,0.084,3.924,0.083,0.0,0.104,3.724,0.084,0.001,1.002,0.265,0.33,1.501,0.124,0.001,1.738,10.55,1.713,0.124,1.001,0.189,0.002,0.301,0.124,3.521,0.166,0.0,7.44,6.239,0.0,1.009,7.82,2026-01-24 04:30:21.261,29.8201,14044.47,98.0,0.0,100.0,492.0,492.0,492.0
67,136.0,0.011,0.717,0.514,4.023,0.083,3.928,0.083,0.0,0.107,3.725,0.083,0.0,1.001,0.265,0.333,1.501,0.126,0.002,1.733,10.552,1.713,0.124,1.0,0.189,0.0,0.302,0.125,3.529,0.168,0.0,7.418,6.237,0.0,1.005,7.822,2026-01-24 04:31:11.903,21.7102,14084.95,98.0,0.0,100.0,494.0,494.0,494.0
68,138.0,0.01,1.378,0.513,3.93,0.083,3.925,0.084,0.0,0.103,3.726,0.084,0.0,1.002,0.257,0.332,1.502,0.124,0.001,1.735,10.548,1.71,0.125,1.001,0.186,0.001,0.3,0.126,3.525,0.168,0.0,7.412,6.243,0.001,1.009,7.814,2026-01-24 04:32:04.479,19.0757,14135.58,98.0,0.0,100.0,496.0,496.0,496.0
69,140.0,0.011,1.399,0.517,3.926,0.084,3.929,0.084,0.0,0.102,3.722,0.084,0.0,1.001,0.264,0.332,1.501,0.126,0.001,1.738,10.558,1.712,0.125,1.001,0.187,0.001,0.301,0.125,3.523,0.168,0.0,7.43,6.235,0.0,1.009,7.812,2026-01-24 04:32:43.056,32.8336,14188.16,98.0,0.0,100.0,498.0,498.0,498.0
70,142.0,0.011,1.394,0.513,3.936,0.084,3.931,0.084,0.0,0.105,3.723,0.083,0.0,1.002,0.266,0.334,1.501,0.105,0.001,1.735,10.565,1.709,0.125,1.002,0.187,0.001,0.301,0.126,3.526,0.166,0.0,7.424,6.241,0.0,1.004,7.821,2026-01-24 04:33:35.446,19.3523,14226.73,98.0,0.0,100.0,500.0,500.0,500.0
71,144.0,0.01,0.714,0.513,3.926,0.102,3.93,0.082,0.0,0.105,3.714,0.083,0.0,1.002,0.262,0.332,1.501,0.126,0.002,1.735,10.562,1.711,0.126,1.001,0.188,0.001,0.302,0.124,3.524,0.167,0.325,7.416,6.238,0.0,1.008,7.822,2026-01-24 04:34:37.026,13.6538,14279.44,98.0,0.0,100.0,502.0,502.0,502.0
72,146.0,0.011,0.713,0.518,3.924,0.083,3.926,0.086,0.0,0.103,3.723,0.084,0.0,1.002,0.263,0.333,1.502,0.125,0.002,1.742,10.55,1.713,0.126,1.001,0.19,0.001,0.303,0.124,3.525,0.165,0.001,7.434,6.23,0.0,1.009,7.819,2026-01-24 04:36:02.310,14.277,14340.71,98.0,0.0,100.0,504.0,504.0,504.0
73,148.0,0.01,1.39,0.514,3.922,0.084,3.924,0.083,0.0,0.105,3.716,0.084,0.001,1.002,0.264,0.335,1.502,0.126,0.001,1.733,10.554,1.714,0.124,1.001,0.189,0.001,0.302,0.124,3.518,0.186,0.0,7.414,6.245,0.0,1.006,7.821,2026-01-24 04:36:55.317,66.5131,14426.0,147.0,0.0,100.0,506.0,506.0,506.0
74,150.0,0.01,1.395,0.514,3.832,0.104,3.931,0.084,0.0,0.103,3.723,0.082,0.0,1.001,0.261,0.334,1.502,0.125,0.001,1.733,10.552,1.711,0.124,1.002,0.187,0.001,0.302,0.125,3.523,0.167,0.0,7.426,6.237,0.0,1.006,7.821,2026-01-24 04:38:00.735,34.2344,14478.99,148.0,0.0,100.0,508.0,508.0,508.0
75,152.0,0.01,0.727,0.512,3.829,0.104,3.931,0.085,0.0,0.104,3.718,0.083,0.0,1.002,0.256,0.333,1.5,0.125,0.001,1.737,10.554,1.71,0.124,1.001,0.186,0.001,0.302,0.126,3.524,0.168,0.0,7.42,6.242,0.0,1.008,7.824,2026-01-24 04:38:53.561,43.6563,14544.42,149.0,0.0,100.0,510.0,510.0,510.0
76,154.0,0.011,1.405,0.513,3.929,0.085,3.932,0.083,0.0,0.102,3.723,0.083,0.0,1.001,0.265,0.332,1.501,0.125,0.001,1.734,10.548,1.714,0.126,1.001,0.186,0.001,0.301,0.122,3.522,0.184,5.362,7.426,6.237,0.0,1.005,7.82,2026-01-24 04:39:58.969,13.4592,14602.61,148.0,0.0,100.0,512.0,512.0,512.0
